カテゴリ,管理番号,施設名,郵便番号,所在地,開設者名,管理者名,電話番号,開設年月日,有効開始日,有効終了日,出典ファイル
病院,,東近江敬愛病院,527-0025,東近江市八日市東本町８－１６,医療法人敬愛会,,0748-22-2222,S 38. 1. 1,,,5624238.xlsx
病院,,医療法人医誠会神崎中央病院,529-1445,東近江市五個荘清水鼻町９５番地,医療法人医誠会,,0748-48-5555,2003-03-01,,,5624238.xlsx
病院,,医療法人社団幸信会青葉病院,527-0039,東近江市青葉町1-36,医療法人社団幸信会,,0748-20-1110,H 12. 7. 1,,,5624238.xlsx
病院,,医療法人恒仁会近江温泉病院,527-0145,東近江市北坂町９６６番地,医療法人恒仁会,,0749-46-1125,H  5. 7. 1,,,5624238.xlsx
病院,,医療法人社団昴会湖東記念病院,527-0134,東近江市平松町２番地１,医療法人社団昴会,,0749-45-5000,H 12.10.10,,,5624238.xlsx
病院,,彦根市立病院,522-8539,彦根市八坂町１８８２番地,彦根市,,0749-22-6050,M 24. 4.26,,,5624238.xlsx
病院,,公益財団法人豊郷病院,529-1168,犬上郡豊郷町八目１２番地,公益財団法人豊郷病院,,0749-35-3001,T 14. 4.27,,,5624238.xlsx
病院,,医療法人恭昭会彦根中央病院,522-0054,彦根市西今町４２１番地,医療法人恭昭会,,0749-23-1211,2008-04-01,,,5624238.xlsx
病院,,医療法人友仁会友仁山崎病院,522-0044,彦根市竹ヶ鼻町８０番地,医療法人友仁会,,0749-23-1800,H  9. 1. 1,,,5624238.xlsx
病院,,長浜赤十字病院,526-8585,長浜市宮前町１４の７,日本赤十字社,,0749-63-2111,S  7. 4.16,,,5624238.xlsx
病院,,市立長浜病院,526-8580,長浜市大戌亥町３１３番地,長浜市,,0749-68-2300,H  8. 5. 1,,,5624238.xlsx
病院,,セフィロト病院,526-0045,長浜市寺田町２５７番地,社会福祉法人青祥会,,0749-62-1652,2012-04-01,,,5624238.xlsx
病院,,長浜市立湖北病院,529-0493,長浜市木之本町大字黒田１２２１,長浜市,,0749-82-3315,2010-01-01,,,5624238.xlsx
病院,,一般財団法人近江愛隣園今津病院,520-1605,高島市今津町南新保87番地1,一般財団法人近江愛隣園,,0740-22-2238,S 26. 6.26,,,5624238.xlsx
病院,,高島市民病院,520-1121,高島市勝野１６６７番地,高島市,,0740-36-0220,S 33. 4. 1,,,5624238.xlsx
病院,,医療法人マキノ病院,520-1822,高島市マキノ町新保１０９７,医療法人マキノ病院,,0740-27-0099,1997-05-01,,,5624238.xlsx
病院,,57,,,,,,,,,5624238.xlsx
一般診療所,,あさい内科,525-0066,草津市矢橋町104-1,浅井　清,,566-1739,2002-04-15,,,5624240.xlsx
一般診療所,,あさの内科クリニック,525-0048,草津市追分南一丁目１番14－１Ｆ号,浅野　信行,,565-2133,2008-11-04,,,5624240.xlsx
一般診療所,,あらい眼科,525-0032,草津市大路2丁目1-27伽羅ｶﾞｰﾃﾞﾝｽｸｴｱ1階,新井　眞理,,567-0660,2007-03-12,,,5624240.xlsx
一般診療所,,医療法人奉仁会　いしだ眼科,525-0027,草津市野村6丁目11番4号ｺﾝﾌｫｰﾚT3,医療法人奉仁会,,516-7288,2007-09-03,,,5624240.xlsx
一般診療所,,尾松医院,525-0027,草津市野村6丁目1-18,医療法人尾松医院,,567-7793,2004-05-06,,,5624240.xlsx
一般診療所,,医療法人加藤乳腺クリニック,525-0037,草津市西大路町8-12,医療法人加藤乳腺クリニック,,566-7808,2005-05-01,,,5624240.xlsx
一般診療所,,医療法人社団加藤内科医院,525-0059,草津市野路１丁目６-５-１０３,医療法人社団加藤内科医院,,567-6234,2007-05-01,,,5624240.xlsx
一般診療所,,医療法人産科婦人科ハピネスバ－スクリニック,525-0066,草津市矢橋町233-3,医療法人産科婦人科ハピネスバースクリニック,,564-3101,2006-10-01,,,5624240.xlsx
一般診療所,,内田内科循環器内科,525-0026,草津市渋川一丁目2-26ザ・草津タワー２階,内田　和則,,516-0200,2009-09-01,,,5624240.xlsx
一般診療所,,おうみクリニック,525-0067,草津市新浜町85-19,坂井　伸好,,569-5525,2004-12-01,,,5624240.xlsx
一般診療所,,おとのりクリニーク,525-0066,草津市矢橋町2070-1-1015,波多野　和夫,,598-1604,2010-01-03,,,5624240.xlsx
一般診療所,,加地眼科,525-0055,草津市野路町字片原694-6,医療法人加地クリニック,,565-3388,2016-04-01,,,5624240.xlsx
一般診療所,,神吉医院,525-0032,草津市大路2丁目10-7,永田　啓明,,514-9012,2026-04-01,,,5624240.xlsx
一般診療所,,草津ハートセンター,525-0014,草津市駒井沢町407-1,医療法人ハートセンター,,568-5333,2007-04-01,,,5624240.xlsx
一般診療所,,草津病理アカデミー　桜ヶ丘病理診断クリニック,525-0057,草津市桜ヶ丘4丁目7-10,天野　殖,,565-1247,2010-02-08,,,5624240.xlsx
一般診療所,,草津レディースクリニック,525-0026,草津市渋川一丁目2-26－207号,医療法人真心会,,566-7575,2009-08-01,,,5624240.xlsx
一般診療所,,くぼた眼科,525-0059,草津市野路一丁目7－21リベリー南草津202,久保田　真吾,,561-0789,1999-02-01,,,5624240.xlsx
一般診療所,,マティスメンタルクリニック,525-0032,草津市大路2丁目1-27,奥田　浩士,,566-7271,2024-11-01,,,5624240.xlsx
一般診療所,,さとうこどもクリニック,525-0066,草津市矢橋町1203-1,佐藤　恒,,566-3105,2009-12-03,,,5624240.xlsx
一般診療所,,滋賀県草津保健所,525-8525,草津市草津３丁目14-75,滋賀県,,562-3526,1989-12-24,,,5624240.xlsx
一般診療所,,しづ井上内科,525-0041,草津市青地町481-3,医療法人桃蘭会,,567-8502,2002-04-01,,,5624240.xlsx
一般診療所,,すぎうら皮ふ科医院,525-0021,草津市川原二丁目15番10号,医療法人すぎうら皮ふ科医院,,569-5702,2007-04-01,,,5624240.xlsx
一般診療所,,第二富田クリニック,525-0014,草津市駒井沢町395-1,医療法人社団富田クリニック,,535-9056,2008-03-03,,,5624240.xlsx
一般診療所,,ダイキン工業㈱滋賀診療所,525-0044,草津市岡本町1000-2,ダイキン工業株式会社滋賀製作所,,563-1151,1970-10-01,,,5624240.xlsx
一般診療所,,たにむらこどもクリニック,525-0027,草津市野村6-1-3ｺﾝﾌｫｰﾚＴ１,医療法人湖幸会,,561-0607,2000-10-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームぽぷら医務室,525-0028,草津市上笠１丁目１番２２号,社会福祉法人みのり,,563-0030,2004-07-01,,,5624240.xlsx
一般診療所,,なかじま医院,525-0047,草津市追分3丁目1-14,中嶋　康彦,,566-8118,2004-05-11,,,5624240.xlsx
一般診療所,,なかの医院,525-0023,草津市平井１丁目15-26,中野　克哉,,566-5123,2006-10-27,,,5624240.xlsx
一般診療所,,にし内科クリニック,525-0029,草津市下笠町76-5,西　高弘,,568-8150,2004-11-05,,,5624240.xlsx
一般診療所,,のぞみクリニック,525-0036,草津市草津町1973番地,大久保　拓,,562-1170,2009-09-01,,,5624240.xlsx
一般診療所,,はしたに眼科,525-0032,草津市大路1-11-30,医療法人厚生会,,563-4800,1982-07-27,,,5624240.xlsx
一般診療所,,パナソニック草津健康管理室,525-0058,草津市野路東二丁目３番１－２号,パナソニック健康保険組合,,563-3611,1971-05-21,,,5624240.xlsx
一般診療所,,松本胃腸科クリニック,525-0052,草津市西矢倉3-6-12-11,松本　啓一,,566-7525,2003-10-16,,,5624240.xlsx
一般診療所,,南草津クリニック,525-0059,草津市野路1丁目8-18ｴﾙﾐﾅeeﾋﾞﾙﾃﾞｨﾝｸﾞ,熊江　忠勝,,569-6862,2023-04-01,,,5624240.xlsx
一般診療所,,医療法人南草津けやきクリニック,525-0050,草津市南草津一丁目1番8-2階 Ｃ号室,医療法人南草津けやきクリニック,,565-7708,2010-03-01,,,5624240.xlsx
一般診療所,,南草津坂本診療所,525-0059,草津市野路1-12-41,坂本　暢典,,566-1002,2001-10-01,,,5624240.xlsx
一般診療所,,南草津野村整形外科,525-0059,草津市野路1-6-27,医療法人真心会,,561-3777,2000-06-05,,,5624240.xlsx
一般診療所,,薬師川眼科医院,525-0045,草津市若草5丁目13番地-1若草医療ﾋﾞﾙ内,薬師川　浩,,566-8341,2004-04-21,,,5624240.xlsx
一般診療所,,やまもとクリニック,525-0023,草津市平井2-1-1,医療法人　医心会,,516-2225,2011-10-01,,,5624240.xlsx
一般診療所,,医療法人 九谷医院,525-0032,草津市大路1-18-31,医療法人九谷医院,,562-2270,1995-10-01,,,5624240.xlsx
一般診療所,,医療法人 上原眼科,525-0025,草津市西渋川1-2-22,医療法人上原眼科,,564-1100,2004-07-01,,,5624240.xlsx
一般診療所,,医療法人　板谷耳鼻咽喉科,525-0037,草津市西大路町8-28-101,医療法人板谷耳鼻咽喉科,,561-0618,1998-09-01,,,5624240.xlsx
一般診療所,,医療法人宮本クリニック,525-0028,草津市上笠4-6-6,医療法人宮本クリニック,,564-0878,2000-04-01,,,5624240.xlsx
一般診療所,,医療法人社団 あなむら診療所,525-0012,草津市穴村町311,医療法人社団あなむら診療所,,568-0006,2000-05-01,,,5624240.xlsx
一般診療所,,医療法人社団 いずみ医院,525-0033,草津市東草津2-2-53,医療法人社団いずみ医院,,565-2347,1984-09-01,,,5624240.xlsx
一般診療所,,医療法人社団 せき川クリニック,525-0027,草津市野村4-9-10,医療法人社団せき川クリニック,,564-3111,1993-06-01,,,5624240.xlsx
一般診療所,,井上医院,525-0034,草津市草津四丁目5-23,医療法人井上医院,,562-0001,2023-06-01,,,5624240.xlsx
一般診療所,,岡診療所,525-0027,草津市野村6-14-14,岡　敦子,,562-8011,1988-11-28,,,5624240.xlsx
一般診療所,,岡本医院,525-0057,草津市桜ケ丘5-3-10,岡本　法仲,,565-3757,1984-11-01,,,5624240.xlsx
一般診療所,,㈱メタルアート診療所,525-0059,草津市野路三丁目2-18,株式会社メタルアート,,563-2111,1971-06-11,,,5624240.xlsx
一般診療所,,橋本内科医院,525-0022,草津市川原町302-5,橋本　賢治,,564-1566,1996-12-02,,,5624240.xlsx
一般診療所,,医療法人　佐竹クリニック（内科胃腸科）,525-0037,草津市西大路町8-28-102,医療法人佐竹クリニック,,569-3678,2005-10-01,,,5624240.xlsx
一般診療所,,滋賀県赤十字血液センター,525-0072,草津市笠山7-1-45,日本赤十字社,,564-6311,S54.4.1 H26.2.10,,,5624240.xlsx
一般診療所,,滋賀県赤十字血液センター　草津出張所　びわ湖草津献血ルーム,525-0025,草津市西渋川１丁目1番14号,日本赤十字社,,584-5678,2013-02-14,,,5624240.xlsx
一般診療所,,耳鼻咽喉科岸本医院,525-0027,草津市野村3-17-19,岸本　正生,,563-1577,1995-12-01,,,5624240.xlsx
一般診療所,,医療法人社団湖光会　若草診療所,525-0045,草津市若草5-13-1,医療法人社団湖光会,,564-2091,2003-10-01,,,5624240.xlsx
一般診療所,,ひの医院,525-0027,草津市野村8-9-1,日野　拓耶,,567-1671,2026-01-01,,,5624240.xlsx
一般診療所,,水口クリニック,525-0027,草津市野村1-1-10,一般社団法人水口病院 H24.4.1～,,566-0601,1991-09-01,,,5624240.xlsx
一般診療所,,中神産業医クリニック,525-0037,草津市西大路町11-10,中神　源一,,562-0209,1990-07-01,,,5624240.xlsx
一般診療所,,中野クリニック,525-0032,草津市大路1-15-43,中野　悦次,,567-9137,1995-04-17,,,5624240.xlsx
一般診療所,,津田皮フ科,525-0032,草津市大路1-15-21,医療法人　津田皮フ科,,562-7203,1998-06-22,,,5624240.xlsx
一般診療所,,特別養護老人ホーム菖蒲の郷医務室,525-0042,草津市山寺町８３７番地,社会福祉法人聖優会,,566-3888,1992-07-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム第二菖蒲の郷医務室,525-0048,草津市追分南５丁目１８番８号,社会福祉法人聖優会,,566-5366,2010-05-21,,,5624240.xlsx
一般診療所,,医療法人久敬会南草津米倉眼科,525-0059,草津市野路1-4-16-301,医療法人久敬会,,569-1288,2025-01-01,,,5624240.xlsx
一般診療所,,入江産婦人科,525-0032,草津市大路2-3-11,入江　賢治,,563-5223,1997-01-03,,,5624240.xlsx
一般診療所,,白波瀬小児科,525-0027,草津市野村8-9-37,白波瀬　亙,,561-0880,1998-04-01,,,5624240.xlsx
一般診療所,,富田クリニック,525-0025,草津市西渋川1-3-22,医療法人社団富田クリニック,,566-0303,1999-12-01,,,5624240.xlsx
一般診療所,,立命館診療所分室,525-0058,草津市野路東1-1-1,学校法人立命館,,561-2635,1994-04-01,,,5624240.xlsx
一般診療所,,はしもと赤ちゃんキッズクリニック,525-0050,草津市南草津三丁目１番９号,医療法人成育会,,558-7088,2011-04-01,,,5624240.xlsx
一般診療所,,介護老人福祉施設なみき医務室,525-0028,草津市上笠1丁目1-16,社会福祉法人みのり,,563-6600,2011-05-16,,,5624240.xlsx
一般診療所,,医療法人社団ラナンキュラス会 麗ビューティー皮フ科クリニック,525-0037,草津市西大路町４番３２号,医療法人社団ラナンキュラス会,,569-5509,2011-05-30,,,5624240.xlsx
一般診療所,,わかくさ耳鼻咽喉科,525-0045,草津市若草５丁目13-1,永田　智也,,532-7071,2011-08-01,,,5624240.xlsx
一般診療所,,こまいざわ整形外科クリニック,525-0014,草津市駒井沢町397-1,猿橋　康雄,,598-1118,2012-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム風和里医務室,525-0044,草津市岡本町217番地,社会福祉法人よつば会,,561-7500,2012-08-01,,,5624240.xlsx
一般診療所,,北山田診療所,525-0061,草津市北山田町245番地１,医療法人　道心会,,566-2560,2012-09-01,,,5624240.xlsx
一般診療所,,KIA　CLINIC　滋賀草津院,535-0032,草津市大路1-15-43　荒川ﾋﾞﾙ２階201,原田　純,,,2013-04-06,,,5624240.xlsx
一般診療所,,清水産婦人科,525-0027,草津市野村三丁目18番5号,医療法人双葉会清水産婦人科 理事長　清水　良彦,,562-4332,2013-07-31,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　帆の里　医務室,525-0066,草津市矢橋町５００番１,社会福祉法人よつば会,,566-8620,2013-10-01,,,5624240.xlsx
一般診療所,,滋賀県身体障害者更生相談所判定室,525-0072,草津市笠山七丁目8-138　県立長寿社会福祉センタ―別館２階,滋賀県知事　三日月　大造,,567-7221,2014-02-01,,,5624240.xlsx
一般診療所,,伊藤内科クリニック,525-0037,草津市西大路町4-32　106-1,伊藤　誠,,563-3550,2014-03-03,,,5624240.xlsx
一般診療所,,指月病理診断科,525-0024,草津市平井町395-38,竹村　しづき,,535-7873,2015-01-17,,,5624240.xlsx
一般診療所,,せの耳鼻咽喉科,525-0023,草津市平井1-19-6,瀬野　悟史,,563-8741,2015-02-01,,,5624240.xlsx
一般診療所,,由良クリニック眼科分院,525-0067,草津市新浜町300番地イオンモール草津１F,医療法人碧藍会,,567-7400,2015-06-01,,,5624240.xlsx
一般診療所,,ふじさわ小児クリニック,525-0032,草津市大路二丁目9番4号,藤澤大輔,,561-5222,2015-09-01,,,5624240.xlsx
一般診療所,,iMEP診療所,525-0055,草津市野路町3023番地,ニプロ株式会社,,,2016-04-16,,,5624240.xlsx
一般診療所,,かんだクリニック,525-0055,草津市野路町686,神田　則和,,561-4112,2016-05-06,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　萩の里　医務室,525-0058,草津市野路東二丁目4番10号,社会福祉法人よつば会,,567-8560,2016-07-01,,,5624240.xlsx
一般診療所,,医療法人スマイル　玉川スマイルクリニック,525-0059,草津市野路8丁目22-13,医療法人スマイル,,564-5555,2016-10-01,,,5624240.xlsx
一般診療所,,特別養護老人ホーム　えんゆうの郷,525-0063,草津市南山田町７６１番地,社会福祉法人 誠光福祉会,,598-1866,H.29.4.17,,,5624240.xlsx
一般診療所,,医療法人 瑞明会 滋賀睡眠クリニック,525-0050,草津市南草津1丁目3-1,医療法人 瑞明会,,077-516-4111,H.29.7.1,,,5624240.xlsx
一般診療所,,なごみ皮膚科クリニック,525-0050,草津市南草津2丁目7-22-2,金井 和美,,569-5186,H.29.12.1,,,5624240.xlsx
一般診療所,,医療法人おがわ耳鼻咽喉科,525-0047,草津市追分1丁目4番25-2,医療法人おがわ耳鼻咽喉科,,516-8733,2026-04-01,,,5624240.xlsx
一般診療所,,みみ･はな･いびき 耳鼻咽喉科こまクリニック,525-0050,草津市南草津2丁目7-22-2,駒田 一朗,,567-6062,H.29.12.3,,,5624240.xlsx
一般診療所,,ささきクリニック,525-0037,草津市西大路町5-2,佐々木　康成,,565-6610,2018-04-01,,,5624240.xlsx
一般診療所,,せきがわ内科クリニック,525-0028,草津市上笠2-17-6 アーバス草津1F,関川 修司,,561-5588,2018-11-07,,,5624240.xlsx
一般診療所,,草津こころのクリニック,525-0032,草津市大路1-12-1 星空館3F,木村 静,,598-6501,2019-01-01,,,5624240.xlsx
一般診療所,,竹岡診療所,525-0034,草津市南草津2丁目4-10 ベーネ南草津1F,竹岡　秀実,,567-5211,2019-02-01,,,5624240.xlsx
一般診療所,,医療法人にじいろ会おぐまファミリークリニック,525-0050,草津市南草津二丁目４－３,医療法人にじいろ会,,561-3288,2019-04-01,,,5624240.xlsx
一般診療所,,医療法人ひつじクリニック,525-0037,草津市西大路町4-32 エストピアプラザ２階,医療法人ひつじクリニック,,565-2625,2019-07-01,,,5624240.xlsx
一般診療所,,医療法人かがやき会そうむらファミリークリニック,525-0048,草津市追分南四丁目6-23,医療法人かがやき会,,548-6655,2022-05-01,,,5624240.xlsx
一般診療所,,医療法人みらいといやまこどもクリニック,525-0047,草津市追分一丁目４番２５-１号,医療法人みらい,,516-1018,2019-10-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームやまでら医務室,525-0042,草津市山寺町1118,社会福祉法人よつば会,,564-8216,2019-10-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームゆうすいのさと診療所,525-0014,草津市駒井沢町４００番地１,社会福祉法人よつば会,,568-3600,2019-10-01,,,5624240.xlsx
一般診療所,,社会医療法人誠光会南草津健診センター,525-0050,草津市南草津二丁目3番地7,社会医療法人誠光会,,516-2500,2019-12-02,,,5624240.xlsx
一般診療所,,みつだ内科クリニック,525-0059,草津市野路4丁目4番1号,光田　憲彦,,516-4386,2020-02-03,,,5624240.xlsx
一般診療所,,おかだ内科クリニック,525-0071,草津市南笠東4丁目5-30,岡田　貴司,,567-8111,2020-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームやわらぎ苑診療所,525-0056,草津市南笠町８９１番地,社会福祉法人よつば会,,564-6500,2020-04-01,,,5624240.xlsx
一般診療所,,特別養護老人ホームしあわせ診療所,525-0056,草津市南笠町９０５番地,社会福祉法人よつば会,,561-3755,2020-04-01,,,5624240.xlsx
一般診療所,,医療法人シーエルリンク南草津あおぞらクリニック,525-0050,草津市南草津3丁目4番3-3,医療法人シーエルリンク,,567-8101,2022-10-01,,,5624240.xlsx
一般診療所,,いりかわ耳鼻咽喉科,525-0050,草津市南草津5丁目4-14,医療法人いりかわ耳鼻咽喉科,,516-1112,Ｒ7.11.1法人化,,,5624240.xlsx
一般診療所,,医療法人山田整形外科クリニック,525-0050,草津市南草津3丁目4番3-1,医療法人山田整形外科クリニック,,598-5935,2022-10-01,,,5624240.xlsx
一般診療所,,久徳医院,525-0034,草津市草津2-4-17,山本　敏夫,,567-5577,2020-09-01,,,5624240.xlsx
一般診療所,,医療法人馰野会南草津婦人科まりこクリニック,525-0059,草津市野路1丁目13番5号南草津アクシスビル3階,医療法人馰野会,,585-9788,2020-10-03,,,5624240.xlsx
一般診療所,,特別養護老人ホーム茜の郷,525-0029,草津市下笠町７３３－１,社会福祉法人聖優会,,599-1977,2021-01-01,,,5624240.xlsx
一般診療所,,医療法人霜星会　滋賀美容皮膚科クリニック,525-0059,草津市野路1丁目13-5南草津ｱｸｼｽﾋﾞﾙ4階,医療法人霜星会,,516-6722,2023-12-01,,,5624240.xlsx
一般診療所,,医療法人健尚会こばやし整形外科,525-0026,草津市渋川１丁目２番26-202号,医療法人健尚会,,566-6003,2021-04-01,,,5624240.xlsx
一般診療所,,眞下草津医院,525-0027,草津市野村三丁目16番20-2号,医療法人眞下草津医院,,565-0880,2021-12-01,,,5624240.xlsx
一般診療所,,滋賀もりブレストクリニック,525-0059,草津市野路一丁目13番36号,森　毅,,561-0701,2022-01-01,,,5624240.xlsx
一般診療所,,医療法人みらい　南草津こどもクリニック,525-0059,草津市野路一丁目6-5サンコート南草津１F,医療法人みらい,,561-3800,2022-04-01,,,5624240.xlsx
一般診療所,,南草津皮フ科,525-0055,草津市野路町652-3,医療法人A．I．R．,,599-1451,2022-05-02,,,5624240.xlsx
一般診療所,,草津かわはらクリニック,525-0036,草津市草津町1899,医療法人碧河会草津かわはらクリニック,,598-0591,Ｒ7.12.1法人化,,,5624240.xlsx
一般診療所,,メープル・クリニック,525-0059,草津市野路1-14-38-204,医療法人　加風,,561-3877,2023-04-01,,,5624240.xlsx
一般診療所,,とみた腎泌尿器科クリニック,525-0050,草津市南草津二丁目1-30,富田　圭司,,077-561-0161,2023-04-01,,,5624240.xlsx
一般診療所,,はやし脳神経外科クリニック,525-0066,草津市矢橋町102-8,医療法人かのん,,077-599-1162,2025-04-01,,,5624240.xlsx
一般診療所,,AGAスキンクリニック滋賀草津院,525-0032,草津市大路一丁目12番1 星空館3階301号室,医療法人社団創美会,,050-5527-0904,2023-04-08,,,5624240.xlsx
