カテゴリ,施設名,郵便番号,所在地,住所,番地,電話番号,営業者氏名,確認・許可年月日,種別,旧種別,登録期限,保健所,出典ファイル
理容所,ＱＢハウス アルプラザ野洲店,520-2331,野洲市小篠原,野洲市小篠原１０００ アルプラザ野洲１ Ｆ,１０００ アルプラザ野洲１ Ｆ,0120-585-919,キュービーネット株式会社,R06/10/18,,,,草津,5627913.pdf
理容所,ＳｉＳｉｍｕｏａ（シシムーア）,525-0035,草津市西草津二丁目,草津市西草津二丁目３－１３,３－１３,077-563-9075,坂口 肇,H12/11/24,,,,草津,5627913.pdf
理容所,ＳＷＩＴＣＨ ＯＮ,520-3031,栗東市綣九丁目,栗東市綣九丁目１２－１４,１２－１４,077-575-1442,林田 吉春,H19/09/28,,,,草津,5627913.pdf
理容所,ＴＩＭＮＡＲ ティンナール,524-0022,守山市守山六丁目,守山市守山六丁目１０－７３,１０－７３,077-582-1017,五十嵐 貴義,H20/07/01,,,,草津,5627913.pdf
理容所,ＥＲｄｅ Ｔｓｕｊｉ,524-0104,守山市木浜町,守山市木浜町１８５６－１,１８５６－１,077-585-3288,有限会社おしゃれサロンツ ジ,S60/03/26,,,,草津,5627913.pdf
理容所,おしゃれの館 カズ,524-0061,守山市赤野井町,守山市赤野井町２４４－２,２４４－２,85-4978,山中 一男,H03/12/11,,,,草津,5627913.pdf
理容所,おしゃれの館 ツヂ,524-0022,守山市守山三丁目,守山市守山三丁目２４－１５,２４－１５,82-3722,有限会社おしゃれの館グル －プ,S61/09/12,,,,草津,5627913.pdf
理容所,髪のＷＡ タナカ,520-2352,野洲市冨波乙,野洲市冨波乙６８１－４２,６８１－４２,077-586-1423,田中 俊樹,H07/08/01,,,,草津,5627913.pdf
理容所,オダ理容,525-0063,草津市南山田町,草津市南山田町８２８,８２８,62-4091,小田 秀雄,S47/04/01,,,,草津,5627913.pdf
理容所,カット ハウス ムラキ,525-0014,草津市駒井沢町,草津市駒井沢町７０－４,７０－４,077-568-1151,村城 光男,H07/12/06,,,,草津,5627913.pdf
理容所,カット・プラザ にしうら,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目８－３,８－３,077-562-7615,西浦 秀人,H02/12/15,,,,草津,5627913.pdf
理容所,カットサロン カタヤマ,524-0102,守山市水保町,守山市水保町１２６９－６,１２６９－６,82-3311,片山 茂一,S56/11/09,,,,草津,5627913.pdf
理容所,カットサロン コスモー,520-2361,野洲市北野一丁目,野洲市北野一丁目１５－３３,１５－３３,077-586-2687,本間 美紀,H20/06/10,,,,草津,5627913.pdf
理容所,カットサロン タニムラ,520-2313,野洲市大篠原,野洲市大篠原１７４４－３,１７４４－３,077-588-0289,谷村 誠喜,S54/05/15,,,,草津,5627913.pdf
理容所,カットサロン フジタ,525-0034,草津市草津二丁目,草津市草津二丁目５－１７,５－１７,077-562-2220,藤田 良平,S43/06/29,,,,草津,5627913.pdf
理容所,カットハウス Ｂｉｌｌｙ Ｈｏｌｌｙ,524-0011,守山市今市町,守山市今市町１１３－５,１１３－５,077-583-2359,清家 一幸,H15/03/07,,,,草津,5627913.pdf
理容所,カットハウス キャッツ,525-0034,草津市草津四丁目,草津市草津四丁目８－１９,８－１９,077-566-4154,山内 久世,H15/03/18,,,,草津,5627913.pdf
理容所,カットハウス クイーン,520-3031,栗東市綣二丁目,栗東市綣二丁目２－３４ ウイングビュー１ Ｆ,２－３４ ウイングビュー１ Ｆ,077-554-4568,日置 陽子,H19/09/01,,,,草津,5627913.pdf
理容所,カットハウス とんぼ,524-0015,守山市矢島町,守山市矢島町１２００,１２００,85-0330,野洲 きみえ,H06/07/12,,,,草津,5627913.pdf
理容所,カットハウス ホラグチ,520-3047,栗東市手原二丁目,栗東市手原二丁目７－３,７－３,077-553-8787,有限会社ヘアーサロン ホ ラグチ,H10/12/02,,,,草津,5627913.pdf
理容所,カットハウス 山次,524-0012,守山市播磨田町,守山市播磨田町１１５－５,１１５－５,077-583-7197,川向 幸子,H20/06/04,,,,草津,5627913.pdf
理容所,keren hair’s matahari,520-3015,栗東市安養寺一丁目,栗東市安養寺一丁目１－１１,１－１１,077-554-5438,松下 保宏,H19/03/15,,,,草津,5627913.pdf
理容所,カット倶楽部 ＴＷＩＳＴ,520-3005,栗東市御園,栗東市御園１８６４－１,１８６４－１,58-3006,園山 隆,H06/04/05,,,,草津,5627913.pdf
理容所,カツベ理容,524-0041,守山市勝部一丁目,守山市勝部一丁目１２－４３,１２－４３,077-582-3222,山本 良夫,S54/10/31,,,,草津,5627913.pdf
理容所,キシモト,524-0015,守山市矢島町,守山市矢島町１２２４,１２２４,85-0849,岸本 美代子,S51/11/25,,,,草津,5627913.pdf
理容所,グランドビューティプラザナガタ理容室,525-0033,草津市東草津三丁目,草津市東草津三丁目３－１４,３－１４,62-4546,長田 浩,H08/05/29,,,,草津,5627913.pdf
理容所,さんぱつのお店 よこた,525-0011,草津市片岡町,草津市片岡町２２１－１,２２１－１,68-2282,横田 博,H01/04/11,,,,草津,5627913.pdf
理容所,とこや ハーフポテト,525-0066,草津市矢橋町,草津市矢橋町１２７－１,１２７－１,65-2490,山澤 茂行,S62/03/20,,,,草津,5627913.pdf
理容所,ナショナル理容店,525-0058,草津市野路東五丁目,草津市野路東五丁目２６－３８,２６－３８,077-562-5603,吉崎 寿,S48/06/19,,,,草津,5627913.pdf
理容所,バーバー オン ベルベット,525-0071,草津市南笠東二丁目,草津市南笠東二丁目７－７ ＹＫＳビル３Ｆ,７－７ ＹＫＳビル３Ｆ,077-567-1790,吉川 智幸,H11/09/09,,,,草津,5627913.pdf
理容所,ハジメちゃんの館,525-0061,草津市北山田町,草津市北山田町８１９,８１９,077-563-3434,宇野 臣一,H22/12/28,,,,草津,5627913.pdf
理容所,ハチヤ理容所,520-3021,栗東市蜂屋,栗東市蜂屋２０４－１,２０４－１,52-1290,濱本 続,S41/08/10,,,,草津,5627913.pdf
理容所,ひさいずみ理容店,525-0063,草津市南山田町,草津市南山田町３７０,３７０,62-3727,久泉 貢,S40/04/15,,,,草津,5627913.pdf
理容所,ファミリーサロン いぐち,525-0023,草津市平井一丁目,草津市平井一丁目４－２３,４－２３,077-563-6244,井口 吉次,S54/07/28,,,,草津,5627913.pdf
理容所,ヘアー ドゥ フェリオ,525-0023,草津市平井二丁目,草津市平井二丁目１－３,１－３,561-6856,倉田 治,H13/03/02,,,,草津,5627913.pdf
理容所,ヘアーサロン ＯＰＡＳ,524-0043,守山市二町町,守山市二町町１９０－１,１９０－１,077-507-0556,小出 克則,H19/11/16,,,,草津,5627913.pdf
理容所,ヘアーサロン あひる,525-0071,草津市南笠東一丁目,草津市南笠東一丁目６－３３,６－３３,077-563-5318,前場 和美,H14/01/29,,,,草津,5627913.pdf
理容所,ヘアーサロン アレジ,524-0102,守山市水保町,守山市水保町１２５５－７０,１２５５－７０,85-3833,山口 賀史,H07/10/20,,,,草津,5627913.pdf
理容所,ヘアーサロン イシカワ,520-2300,野洲市近江富士二丁目,野洲市近江富士二丁目１５－１６,１５－１６,077-587-2138,石川 清,H07/05/10,,,,草津,5627913.pdf
理容所,ヘアーサロン かたやま,520-3041,栗東市出庭,栗東市出庭１５０８,１５０８,077-553-1675,片山 浩,H18/06/06,,,,草津,5627913.pdf
理容所,ヘアーサロン グー,520-3031,栗東市綣二丁目,栗東市綣二丁目５－４－１－２,５－４－１－２,077-552-6745,嶋本 康成,H11/01/28,,,,草津,5627913.pdf
理容所,ヘアー＆ビューティサロン ナカガワ,520-3031,栗東市綣七丁目,栗東市綣七丁目７－１３,７－１３,077-552-2930,中川 敏,S47/04/10,,,,草津,5627913.pdf
理容所,ヘアーサロン レビュー,525-0027,草津市野村二丁目,草津市野村二丁目１－９ グランシティー西大 路１Ｆ,１－９ グランシティー西大 路１Ｆ,077-567-4445,岡田 章,H11/07/07,,,,草津,5627913.pdf
理容所,ヘアーサロン 村田,525-0014,草津市駒井沢町,草津市駒井沢町１８６－５,１８６－５,077-568-3496,村田 吉宏,H11/10/04,,,,草津,5627913.pdf
理容所,ヘアーサロン岸,524-0022,守山市守山一丁目,守山市守山一丁目９－８,９－８,583-4555,岸 俊弘,S63/10/29,,,,草津,5627913.pdf
理容所,ヘアーズ・さくらい,520-2351,野洲市冨波甲,野洲市冨波甲１１７３－１１,１１７３－１１,077-587-5519,櫻井 忠行,H11/10/01,,,,草津,5627913.pdf
理容所,ヘアードレッサー ゆかり,525-0053,草津市矢倉二丁目,草津市矢倉二丁目２－５,２－５,077-566-1049,上田 剛三,H06/05/02,,,,草津,5627913.pdf
理容所,ヘアークリエイトサロン クロダ,525-0066,草津市矢橋町,草津市矢橋町１８－９,１８－９,64-6113,黒田 公人,S54/07/17,,,,草津,5627913.pdf
理容所,ｈａｉｒ ｓｐｏｔ ＵＥＭＵＲＡ,520-2331,野洲市小篠原,野洲市小篠原８２６－６,８２６－６,077-587-3947,上村 武史,S60/12/12,,,,草津,5627913.pdf
理容所,ヘアーサロン ウメノ,524-0053,守山市横江町,守山市横江町２２２－２２,２２２－２２,82-6361,梅野 幸夫,S63/04/24,,,,草津,5627913.pdf
理容所,ヘアーサロン さかがみ,525-0066,草津市矢橋町,草津市矢橋町２３－５０,２３－５０,64-2716,坂上 勝,H02/03/20,,,,草津,5627913.pdf
理容所,ヘアーサロン ユウメン,525-0035,草津市西草津一丁目,草津市西草津一丁目７－６,７－６,63-1773,遊免 清,S60/07/22,,,,草津,5627913.pdf
理容所,ヘアーサロン 河合,520-3015,栗東市安養寺二丁目,栗東市安養寺二丁目１２－２７,１２－２７,077-553-5908,河合 良夫,S52/09/06,,,,草津,5627913.pdf
理容所,ヘアーサロン アラガ,525-0055,草津市野路町,草津市野路町１０８２－７,１０８２－７,63-0421,荒賀 忠夫,H20/08/21,,,,草津,5627913.pdf
理容所,ヘアサロン オクムラ,524-0031,守山市立入町,守山市立入町２５６－２,２５６－２,582-3977,奥村 光子,H12/07/10,,,,草津,5627913.pdf
理容所,ヘアーサロン さわ,520-2341,野洲市行畑二丁目,野洲市行畑二丁目１１－１９,１１－１９,077-586-0038,澤 幸雄,S57/12/14,,,,草津,5627913.pdf
理容所,ヘアーサロン たにぐち,525-0065,草津市橋岡町,草津市橋岡町２３－２５,２３－２５,64-3984,谷口 勝秀,S59/11/09,,,,草津,5627913.pdf
理容所,ヘアーサロン ダンヒル,525-0028,草津市上笠二丁目,草津市上笠二丁目６－２１上笠ハイツ１－３号,６－２１上笠ハイツ１－３号,077-565-3937,武田 忠清,S60/07/02,,,,草津,5627913.pdf
理容所,ヘアーサロン とこちょう,525-0032,草津市大路一丁目,草津市大路一丁目１－１－１１４,１－１－１１４,077-564-0930,山本 カヨ子,H05/03/08,,,,草津,5627913.pdf
理容所,ヘアーサロン トモ,525-0023,草津市平井四丁目,草津市平井四丁目３－３２,３－３２,64-7956,永通 保男,S52/07/19,,,,草津,5627913.pdf
理容所,ヘアーサロン ニシムラ,525-0026,草津市渋川一丁目,草津市渋川一丁目６－９,６－９,077-562-2241,西村 徹,H05/02/10,,,,草津,5627913.pdf
理容所,ヘアーサロン ノムラ,520-2342,野洲市野洲,野洲市野洲２９１,２９１,87-0744,野村 義博,S60/03/30,,,,草津,5627913.pdf
理容所,ヘアーサロン ふじおか,520-3024,栗東市小柿一丁目,栗東市小柿一丁目４－５,４－５,53-8609,藤岡 信章,H04/10/09,,,,草津,5627913.pdf
理容所,ヘアーサロン フジタ,525-0034,草津市草津一丁目,草津市草津一丁目４－３０,４－３０,077-562-0771,藤田 紀夫,S55/09/30,,,,草津,5627913.pdf
理容所,ヘアーサロン ヨシダ,525-0034,草津市草津一丁目,草津市草津一丁目８－１０,８－１０,62-0659,吉田 美喜子,S34/02/01,,,,草津,5627913.pdf
理容所,ヘアーサロン 松山,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目１－１,１－１,63-3005,松山 誠一,S52/02/22,,,,草津,5627913.pdf
理容所,ヘアーサロン 日進,520-2333,野洲市栄,野洲市栄２９－２３,２９－２３,87-2550,南部谷 晃,S58/08/04,,,,草津,5627913.pdf
理容所,ヘアーサロン 利帆,520-2361,野洲市北野一丁目,野洲市北野一丁目６－２,６－２,077-586-0763,木本 謙一,S54/03/28,,,,草津,5627913.pdf
理容所,ヘアスタジオ ポラリス,524-0021,守山市吉身三丁目,守山市吉身三丁目１１－１５ 南貸ビル１－Ｃ,１１－１５ 南貸ビル１－Ｃ,077-582-0559,櫻木 裕士,H19/03/28,,,,草津,5627913.pdf
理容所,ヘアーデザイン 戸嶋,520-3005,栗東市御園,栗東市御園１０２８ トレセンショップ 内,１０２８ トレセンショップ 内,077-558-2048,戸嶋 貞彦,S60/09/24,,,,草津,5627913.pdf
理容所,ヘアープラザ ニシ,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目９－１４,９－１４,65-1277,西 良二,S60/04/24,,,,草津,5627913.pdf
理容所,ヘヤーサロン ナカガワ,525-0006,草津市志那中町,草津市志那中町３６４－３,３６４－３,077-568-0814,中川 倉之助,S36/06/05,,,,草津,5627913.pdf
理容所,みずほ理容所,524-0102,守山市水保町,守山市水保町４７５－１,４７５－１,85-0909,辻 憲三,S50/09/01,,,,草津,5627913.pdf
理容所,めんず るーむ はぶ,525-0055,草津市野路町,草津市野路町６６８－１０,６６８－１０,64-1608,羽生 哲美,H07/11/01,,,,草津,5627913.pdf
理容所,メンズサロンブルート,525-0000,草津市笠山一丁目,草津市笠山一丁目８－３４,８－３４,564-0011,青木 亘,H17/03/09,,,,草津,5627913.pdf
理容所,ラルジュ,525-0066,草津市矢橋町,草津市矢橋町１６６０（草津総合病院内２ Ｆ）,１６６０（草津総合病院内２ Ｆ）,077-563-8866,有限会社ラルジュ,H19/03/30,,,,草津,5627913.pdf
理容所,リーフ理容赤坂店,520-3016,栗東市小野,栗東市小野１０４２,１０４２,077-553-4356,西田 要子,S62/04/13,,,,草津,5627913.pdf
理容所,わしだ理容院,520-3023,栗東市坊袋,栗東市坊袋２,２,077-552-0698,鷲田 清一,S42/04/25,,,,草津,5627913.pdf
理容所,浦山理容所,520-2351,野洲市冨波甲,野洲市冨波甲８７７－１,８７７－１,87-0729,浦山 芳正,S53/10/17,,,,草津,5627913.pdf
理容所,永尾理容所,524-0104,守山市木浜町,守山市木浜町１８３７－１,１８３７－１,077-585-1940,永尾 一夫,S37/11/10,,,,草津,5627913.pdf
理容所,横田理容所,525-0029,草津市下笠町,草津市下笠町１０４３,１０４３,68-0340,横田 政昭,S47/12/25,,,,草津,5627913.pdf
理容所,岡田理容院,525-0028,草津市上笠二丁目,草津市上笠二丁目２８－１５,２８－１５,077-563-6222,岡田 晄明,H11/07/26,,,,草津,5627913.pdf
理容所,高林理容,520-2421,野洲市野田,野洲市野田１６５４－１,１６５４－１,89-2810,高林 敬三,H06/01/26,,,,草津,5627913.pdf
理容所,済生会滋賀病院,520-3046,栗東市大橋二丁目,栗東市大橋二丁目４－１,４－１,52-1221,（社福）済生会滋賀県病院,S56/05/02,,,,草津,5627913.pdf
理容所,散髪屋 さんきち 守山店,524-0022,守山市守山六丁目,守山市守山六丁目１２－１２,１２－１２,077-582-7679,有限会社ラルジュ,H15/04/07,,,,草津,5627913.pdf
理容所,小林理容所,520-3031,栗東市綣七丁目,栗東市綣七丁目８－１３,８－１３,077-553-1625,小林 崇男,S52/12/03,,,,草津,5627913.pdf
理容所,西村理容所,524-0211,守山市小浜町,守山市小浜町１３２２－１,１３２２－１,85-2140,西村 政幸,H07/02/07,,,,草津,5627913.pdf
理容所,石井理容所,520-2331,野洲市小篠原,野洲市小篠原３８６－３,３８６－３,077-587-0464,石井 康夫,H07/11/21,,,,草津,5627913.pdf
理容所,石田理容院,525-0004,草津市上寺町,草津市上寺町３５０,３５０,68-2520,石田 義隆,S50/07/30,,,,草津,5627913.pdf
理容所,草津合同庁舎内 理容室,525-0034,草津市草津三丁目,草津市草津三丁目１４－７５,１４－７５,65-0909,山田 知一,S63/09/28,,,,草津,5627913.pdf
理容所,太田理容,520-3004,栗東市上砥山,栗東市上砥山１４５２,１４５２,58-0301,太田 岩千代,S43/01/19,,,,草津,5627913.pdf
理容所,竹村理容所,520-2423,野洲市西河原,野洲市西河原３１３－２,３１３－２,89-2282,竹村 明子,H06/06/13,,,,草津,5627913.pdf
理容所,中井理容所,525-0027,草津市野村二丁目,草津市野村二丁目４－６,４－６,62-7092,中井 俊哲,S45/10/28,,,,草津,5627913.pdf
理容所,中川理容所,525-0059,草津市野路五丁目,草津市野路五丁目９－５,９－５,62-1689,中川 時江,H07/05/09,,,,草津,5627913.pdf
理容所,中川理容店,525-0041,草津市青地町,草津市青地町４７９－２,４７９－２,62-2564,中川 順平,S53/07/18,,,,草津,5627913.pdf
理容所,日進理容店,524-0021,守山市吉身一丁目,守山市吉身一丁目４－１,４－１,077-582-2651,西村 俊彦,S51/06/15,,,,草津,5627913.pdf
理容所,髪スタジオ・ホラグチ,524-0021,守山市吉身二丁目,守山市吉身二丁目８－２１,８－２１,077-582-4097,有限会社髪スタジオ・ホラ グチ,H16/04/26,,,,草津,5627913.pdf
理容所,髪切屋 くわがた,525-0054,草津市東矢倉四丁目,草津市東矢倉四丁目２－７,２－７,077-563-4903,桑形 博一,H20/03/31,,,,草津,5627913.pdf
理容所,有限会社ヘアーサロン ノムラ,520-2342,野洲市野洲,野洲市野洲９４１－３,９４１－３,077-586-2400,野村 義博,H03/12/14,,,,草津,5627913.pdf
理容所,有限会社ヘアーサロン ホラグチ,525-0027,草津市野村六丁目,草津市野村六丁目３－２２,３－２２,077-563-3838,有限会社ヘアーサロン ホ ラグチ,H05/03/22,,,,草津,5627913.pdf
理容所,理容 中沢,524-0004,守山市笠原町,守山市笠原町７０６,７０６,82-2856,中沢 定,H08/11/28,,,,草津,5627913.pdf
理容所,理容・アキナガ,524-0002,守山市小島町,守山市小島町１５６４－３,１５６４－３,077-582-2735,秋永 一也,S55/07/01,,,,草津,5627913.pdf
理容所,理容ＩＮ理栄,525-0071,草津市南笠東四丁目,草津市南笠東四丁目９－６９,９－６９,62-1485,田村 理栄,H06/01/06,,,,草津,5627913.pdf
理容所,理容アキラ,524-0046,守山市今宿一丁目,守山市今宿一丁目２－１７,２－１７,583-8179,本田 しづ子,S62/11/24,,,,草津,5627913.pdf
理容所,理容いこい,520-3005,栗東市御園,栗東市御園４７０－１,４７０－１,58-1554,西村 修,H02/10/23,,,,草津,5627913.pdf
理容所,理容イマエ,524-0103,守山市洲本町,守山市洲本町１３５６－２,１３５６－２,077-585-1258,今江 正次,S46/12/21,,,,草津,5627913.pdf
理容所,Ｃｕｔ Ｃｌｕｂ ＤＲＩＦＴ,520-2401,野洲市吉川,野洲市吉川３６００－３,３６００－３,077-589-5362,大西 浩志,H05/10/28,,,,草津,5627913.pdf
理容所,理容キムラ,524-0215,守山市幸津川町,守山市幸津川町１３８２－３,１３８２－３,077-585-2257,木村 龍助,S23/07/01,,,,草津,5627913.pdf
理容所,理容サービス,524-0037,守山市梅田町,守山市梅田町２１５－１守山駅前プラザ２ Ｆ,２１５－１守山駅前プラザ２ Ｆ,82-8441,白石 睦子,H03/05/11,,,,草津,5627913.pdf
理容所,理容スギタ,525-0054,草津市東矢倉二丁目,草津市東矢倉二丁目４－３８,４－３８,077-565-3313,杉田 光隆,H11/06/25,,,,草津,5627913.pdf
理容所,理容たむら,525-0066,草津市矢橋町,草津市矢橋町８８４－７,８８４－７,077-563-2380,田村 和子,S59/11/16,,,,草津,5627913.pdf
理容所,理容とみ,525-0037,草津市西大路町,草津市西大路町６－２４,６－２４,64-2651,山本 富藏,S50/05/17,,,,草津,5627913.pdf
理容所,理容プラーナ イオン野洲店,520-2435,野洲市乙窪,野洲市乙窪４８０－１ イオン野洲店内,４８０－１ イオン野洲店内,077-589-6064,新屋 鉄次,H22/07/30,,,,草津,5627913.pdf
理容所,理容プラージュ草津店,525-0032,草津市大路一丁目,草津市大路一丁目１１－８ ジュンビル１Ｆ,１１－８ ジュンビル１Ｆ,077-565-8838,阪南理美容株式会社,H16/05/17,,,,草津,5627913.pdf
理容所,理容ホリイ,525-0034,草津市草津四丁目,草津市草津四丁目３－２４,３－２４,077-562-4871,堀井 京三,S45/09/19,,,,草津,5627913.pdf
理容所,理容ホンダ,524-0037,守山市梅田町,守山市梅田町９８－６,９８－６,077-582-2627,本田 秀雄,S53/01/13,,,,草津,5627913.pdf
理容所,理容マツイ,525-0016,草津市北大萱町,草津市北大萱町４７９,４７９,68-0736,松井 金滋,S51/09/25,,,,草津,5627913.pdf
理容所,理容ミウラ,524-0061,守山市赤野井町,守山市赤野井町１２６－１,１２６－１,077-585-0819,三浦 馨,H12/03/29,,,,草津,5627913.pdf
理容所,理容みやぎ,520-3047,栗東市手原四丁目,栗東市手原四丁目５－３,５－３,077-552-0310,宮城 豊治郎,S52/06/21,,,,草津,5627913.pdf
理容所,理容ミヤハラ,520-2351,野洲市冨波甲,野洲市冨波甲１１７３－１１,１１７３－１１,077-587-5350,宮原 道男,H03/09/11,,,,草津,5627913.pdf
理容所,理容ヤス,520-2412,野洲市六条,野洲市六条４８５－１２,４８５－１２,89-2604,野洲 三郎,S55/09/09,,,,草津,5627913.pdf
理容所,理容ヤマダ,520-2413,野洲市吉地,野洲市吉地１３２５,１３２５,89-4618,山田 辰夫,H01/11/02,,,,草津,5627913.pdf
理容所,理容金田,525-0046,草津市追分町,草津市追分町７８４－１２３,７８４－１２３,62-1252,金田 勝治,S51/10/29,,,,草津,5627913.pdf
理容所,理容山口,520-3012,栗東市岡,栗東市岡１９４－７,１９４－７,077-553-2603,山口 英雄,S51/07/21,,,,草津,5627913.pdf
理容所,理容室 若竹,525-0026,草津市渋川一丁目,草津市渋川一丁目８－１７,８－１７,077-563-4705,吉田 富夫,H13/10/31,,,,草津,5627913.pdf
理容所,理容室タナカ,520-2304,野洲市永原,野洲市永原５８４,５８４,077-588-3838,田中 征子,H01/02/13,,,,草津,5627913.pdf
理容所,理容室テラダ,524-0021,守山市吉身一丁目,守山市吉身一丁目１－４,１－４,82-2062,寺田 雅治,S59/11/21,,,,草津,5627913.pdf
理容所,Ｈａｉｒ＆Ｆａｃｅ ｓａｌｏｎ Ｏｈ ｍａｅ,520-2353,野洲市久野部,野洲市久野部１５０－２２,１５０－２２,077-587-0537,大前 信晴,S43/10/07,,,,草津,5627913.pdf
理容所,理容池田,524-0022,守山市守山二丁目,守山市守山二丁目５－１１,５－１１,077-582-5441,池田 和彦,S49/02/01,,,,草津,5627913.pdf
理容所,理容長野,525-0028,草津市上笠三丁目,草津市上笠三丁目１７－７,１７－７,63-2588,長野 進,S51/08/10,,,,草津,5627913.pdf
理容所,理容店 ざ座,525-0000,草津市笠山三丁目,草津市笠山三丁目２－６,２－６,077-565-0610,川越 豊和,H16/09/22,,,,草津,5627913.pdf
理容所,理容田中,525-0034,草津市草津一丁目,草津市草津一丁目３－１２,３－１２,62-1637,田中 伸芳,S50/02/26,,,,草津,5627913.pdf
理容所,ヘアーデザイン Ｗｉｌｌ－Ｂ,524-0012,守山市播磨田町,守山市播磨田町１３０２－８,１３０２－８,077-583-7788,森 和之,H21/05/01,,,,草津,5627913.pdf
理容所,ヘアーサロンＭＯＲＩ,524-0046,守山市今宿一丁目,守山市今宿一丁目３－１６,３－１６,077-582-4714,森 幸子,H21/08/19,,,,草津,5627913.pdf
