カテゴリ,施設名,郵便番号,所在地,住所,番地,法人・団体名,確認・許可年月日,種別,旧種別,登録期限,保健所
美容所,ＫＩＲＥＩ,525-0025,草津市西渋川一丁目,草津市西渋川一丁目１－４ マルウチ３０１,１－４ マルウチ３０１,株式会社ＪＡＭ,R03/01/08,,,,草津
美容所,Ｎｏｅｌｌａ,525-0055,草津市野路町,草津市野路町６８３－６－１０３,６８３－６－１０３,株式会社Ｎｏｅｌｌａ,R03/01/12,,,,草津
美容所,Ｈａｉｒ ｍａｋｅ ｃ’ｅｓｔ ｃｈｏｕ ｅｔｔｅ,524-0104,守山市木浜町,守山市木浜町１５２－１８,１５２－１８,,R03/02/15,,,,草津
美容所,ｅｄｇｅ ＨＡＩＲ ＷＯＲＫＳ,524-0012,守山市播磨田町,守山市播磨田町３０３８－１,３０３８－１,,R03/02/15,,,,草津
美容所,ｅｃｌａｔ ｈａｉｒ’ｓ ＢＥＡＵ ｇｒ ｏｕｐ,525-0027,草津市野村二丁目,草津市野村二丁目１０－２３,１０－２３,有限会社エイト,R03/02/26,,,,草津
美容所,ヘアーデザイン ｋｉｚｕｎａ,525-0027,草津市野村四丁目,草津市野村四丁目１０－１６,１０－１６,株式会社Ｍａｋａｌｏａ,R03/02/25,,,,草津
美容所,ＤＩＤＩＥＲ ＋ｎ,524-0041,守山市勝部一丁目,守山市勝部一丁目２－２６,２－２６,株式会社クレステージ,R03/03/01,,,,草津
美容所,ｍａ ｃｈｅｒｉｅ ｂｙ ＨＡＳＥ,525-0032,草津市大路一丁目,草津市大路一丁目６－１３,６－１３,有限会社ビューティーサロン長谷,R03/03/09,,,,草津
美容所,ＨＡＬＥ ｈａｉｒ ｗｏｒｋｓ,524-0052,守山市大門町,守山市大門町２７９－７,２７９－７,,R03/03/12,,,,草津
美容所,ｍｕｋｕ －ｏｒｇａｎｉｃ ｈａｉｒ－,525-0065,草津市橋岡町,草津市橋岡町１４４－９,１４４－９,,R03/04/16,,,,草津
美容所,笑 ｅｍｉ,525-0025,草津市西渋川二丁目,草津市西渋川二丁目６－８８,６－８８,,R03/04/15,,,,草津
美容所,ｈａｉｒ－ｓａｌｏｎ Ｚｅｒｏ,520-2331,野洲市小篠原,野洲市小篠原２２２０－２ エヌハイム１Ｆ,２２２０－２ エヌハイム１Ｆ,,R03/04/27,,,,草津
美容所,女性専用サロン Ａｎｓｕｒ ｍｉｍｉ 草 津店,525-0037,草津市西大路町,草津市西大路町３－１９ Ｍビル２Ｆ,３－１９ Ｍビル２Ｆ,株式会社ＯＲＥＳＳホールディングス,R03/04/27,,,,草津
美容所,ＥＹＥＬＡＳＨ ＳＡＬＯＮ Ｂｌａｉｒ,520-3015,栗東市安養寺七丁目,栗東市安養寺七丁目２－１２ センチュリー２階Ｂ号室,２－１２ センチュリー２階Ｂ号室,,R03/04/30,,,,草津
美容所,Ａｔｅ ｅｙｅｌａｓｈ,524-0064,守山市森川原町,守山市森川原町２３－３９,２３－３９,,R03/05/18,,,,草津
美容所,ｍｉｃｈｅｌ,524-0041,守山市勝部四丁目,守山市勝部四丁目３－１１ ４０２号室,３－１１ ４０２号室,,R03/05/18,,,,草津
美容所,ｈａｉｒ ｓｔｏｒｙ ＦＥＸＩＡ－ｄｉ,525-0048,草津市追分南四丁目,草津市追分南四丁目２－３ ＫＡＧＡＹＡＫＩテラス１Ｆ－Ｃ Ｄ,２－３ ＫＡＧＡＹＡＫＩテラス１Ｆ－Ｃ Ｄ,株式会社ＦＥＸＩＡ,R03/05/31,,,,草津
美容所,ＮＩＤＩＶＯ,525-0058,草津市野路東五丁目,草津市野路東五丁目１６－１９ サンロイヤルニシヤマ１Ｆ,１６－１９ サンロイヤルニシヤマ１Ｆ,,R03/06/14,,,,草津
美容所,＆,525-0027,草津市野村二丁目,草津市野村二丁目２－１ ソネット草津１０５号室,２－１ ソネット草津１０５号室,株式会社ｅｍｕｓｅ,R03/06/03,,,,草津
美容所,ビューティスタジオ ツジ,524-0201,野洲市吉川,野洲市吉川１２５６,１２５６,,R03/06/30,,,,草津
美容所,ｌｉｎｏ 守山店,524-0042,守山市焔魔堂町,守山市焔魔堂町１２１－１,１２１－１,株式会社ａｎｕｅｎｕｅ,R03/07/15,,,,草津
美容所,ａｎｏｎｅ,525-0034,草津市草津三丁目,草津市草津三丁目１３－５６ 辻ビル１０３,１３－５６ 辻ビル１０３,合同会社ａｎｏｎｅ,R03/07/05,,,,草津
美容所,ｓｏｕｒｉｒｅ,525-0031,草津市若竹町,草津市若竹町１－５ センタービル３０５,１－５ センタービル３０５,,R03/07/01,,,,草津
美容所,Ｌｉ ｂｏｎｄｓ,524-0022,守山市守山六丁目,守山市守山六丁目１－４４ 元町ビル１ＦＡ,１－４４ 元町ビル１ＦＡ,,R03/08/02,,,,草津
美容所,ｂｅａｕｔｙ ｓｐａｃｅ Ｌｕｃｉ,520-3031,栗東市綣,栗東市綣二丁目２－３４ ウイング・ビュー２０３,二丁目２－３４ ウイング・ビュー２０３,,R03/07/21,,,,草津
美容所,ｕｒｓｕｓ ｂｙ ＨＥＡＤＬＩＧＨＴ 草 津店,525-0032,草津市大路一丁目,草津市大路一丁目１１－８ ジュンビル２階２号室,１１－８ ジュンビル２階２号室,株式会社ヘッドライト,R03/07/28,,,,草津
美容所,ｆｌｏｗｅｒ,520-3024,栗東市小柿七丁目,栗東市小柿七丁目４－７,４－７,株式会社Ｍａｋａｌｏａ,R03/08/19,,,,草津
美容所,Ｗ,525-0034,草津市草津二丁目,草津市草津二丁目１０－２２,１０－２２,株式会社インフィクス,R03/08/20,,,,草津
美容所,Ｈａｉｒ ｒｅｌａｘａｔｉｏｎ Ｐｏｎｏ,520-2331,野洲市小篠原,野洲市小篠原１１７３－２,１１７３－２,,R03/09/29,,,,草津
美容所,ｍａｂｌｅ,525-0033,草津市東草津一丁目,草津市東草津一丁目４－４,４－４,,R03/09/02,,,,草津
美容所,Ｅｔｏｌ ｂｙ ｇａｎｅｓｈａ,520-2331,野洲市小篠原,野洲市小篠原１５６２－１０ １階,１５６２－１０ １階,株式会社ＳＯＷ,R03/09/17,,,,草津
美容所,エイブル美容室,525-0059,草津市野路一丁目,草津市野路一丁目８－５,８－５,株式会社ＪＩＮＥＮ,R03/09/15,,,,草津
美容所,ｅｌｆ,524-0041,守山市勝部四丁目,守山市勝部四丁目１０８８ ＢＵＢＵＢＵ ２Ｆ,１０８８ ＢＵＢＵＢＵ ２Ｆ,,R03/10/04,,,,草津
美容所,Ｆｒｅｒｅ ｈａｉｒ,525-0027,草津市野村二丁目,草津市野村二丁目１－１２ バンジャール西大路,１－１２ バンジャール西大路,,R03/09/22,,,,草津
美容所,ｉｍｅ 草津店,525-0023,草津市平井一丁目,草津市平井一丁目８－２ 平井ＢＬＤＧ２Ｆ,８－２ 平井ＢＬＤＧ２Ｆ,,R03/10/01,,,,草津
美容所,ＴａｔｏｔｅＡ,525-0028,草津市上笠四丁目,草津市上笠四丁目２３－１０,２３－１０,,R04/04/20,,,,草津
美容所,Ｈａｉｒ Ｄｒｅｓｓｅｒ ＴｉＣＡ,524-0001,守山市川田町,守山市川田町４１９－３,４１９－３,株式会社セレンディピティ,R03/11/04,,,,草津
美容所,ＳＥＰＴ ＮＡＩＬ 草津店,525-0025,草津市西渋川一丁目,草津市西渋川一丁目１－１８ イーカムビル３０１号,１－１８ イーカムビル３０１号,株式会社ＳＥＰＴ,R03/11/02,,,,草津
美容所,ｃｈｅｒｉｃｉａ,524-0012,守山市播磨田町,守山市播磨田町３８６－２,３８６－２,,R03/10/21,,,,草津
美容所,スマートカラーＫｉｒｅｉ フェリエ南草津 店,525-0059,草津市野路一丁目,草津市野路一丁目１５－５－１Ｆ,１５－５－１Ｆ,アイビ株式会社,R03/11/02,,,,草津
美容所,スマイルビューティー チャチャ,524-0104,守山市木浜町,守山市木浜町１６３０－１,１６３０－１,株式会社ウラキュウ,R03/10/25,,,,草津
美容所,Ｆａｖｅ,525-0059,草津市野路七丁目,草津市野路七丁目６－２１,６－２１,,R03/12/23,,,,草津
美容所,ＣＨＥＬＳＥＡ,524-0022,守山市守山六丁目,守山市守山六丁目８－３７,８－３７,株式会社ｐｅｐｉｎ,R03/11/17,,,,草津
美容所,ｅｍｍｙ,525-0066,草津市矢橋町,草津市矢橋町４５２－１,４５２－１,Ａｍｉ株式会社,R03/12/10,,,,草津
美容所,ａｃｏｃｏ,520-2361,野洲市北野一丁目,野洲市北野一丁目１２－１６ ２階,１２－１６ ２階,,R03/12/01,,,,草津
美容所,ＭＩＬＫ,525-0059,草津市野路五丁目,草津市野路五丁目６－４,６－４,,R03/12/03,,,,草津
美容所,土川田８号線,520-2332,野洲市妙光寺,野洲市妙光寺２０５,２０５,,R03/12/14,,,,草津
美容所,株式会社Ｌｕｕ Ｓｔｅｌｌａ,520-3024,栗東市小柿六丁目,栗東市小柿六丁目２－２６,２－２６,株式会社Ｌｕｕ Ｓｔｅｌｌａ,R04/02/02,,,,草津
美容所,＿ＷＨＩＴＥ栗東店,520-3015,栗東市安養寺六丁目,栗東市安養寺六丁目１－４４ エフアイビル１Ａ号室,１－４４ エフアイビル１Ａ号室,株式会社アールズ,R04/01/25,,,,草津
美容所,Ｒｅ Ｅｙｅｓ ＋,520-3041,栗東市出庭,栗東市出庭１７２－１,１７２－１,,R04/01/19,,,,草津
美容所,Ｌｉｌａ守山店,524-0033,守山市浮気町,守山市浮気町３２１－１６ サンシャインビル１０２,３２１－１６ サンシャインビル１０２,株式会社ＯＲＥＳＳ,R04/01/31,,,,草津
美容所,ビューティーラボ南草津店,525-0050,草津市南草津一丁目,草津市南草津一丁目１－５ Ｇｒａｎｄ Ｍａｒｒｙ Ｂｅｌ ｌｓｔ１０１,１－５ Ｇｒａｎｄ Ｍａｒｒｙ Ｂｅｌ ｌｓｔ１０１,株式会社勇気,R04/02/21,,,,草津
美容所,Ｌｉｌａ南草津店,525-0059,草津市野路一丁目,草津市野路一丁目１２－４１ クレアトゥール２１ １－Ｂ 号室,１２－４１ クレアトゥール２１ １－Ｂ 号室,株式会社ＯＲＥＳＳ,R04/02/02,,,,草津
美容所,Ｍｏｅｉｌ,524-0022,守山市守山四丁目,守山市守山四丁目５－１ セルフィーユ守山１０３号,５－１ セルフィーユ守山１０３号,,R04/02/02,,,,草津
美容所,髪質改善専門店．Ｌｉｌｙ,525-0025,草津市西渋川一丁目,草津市西渋川一丁目１－１８ イーカムビル１階１０２号室,１－１８ イーカムビル１階１０２号室,株式会社Ｙ’ＳＫ．ＤＯＢ,R04/02/07,,,,草津
美容所,Ｈａｉｒ＆ｅｙｅｌａｓｈ ＡＭＡＮＤＡ,525-0027,草津市野村一丁目,草津市野村一丁目１－３ ロイヤルハイツ吉田２０２,１－３ ロイヤルハイツ吉田２０２,,R04/02/09,,,,草津
美容所,ＪＯＷＡ,525-0048,草津市追分南三丁目,草津市追分南三丁目２１－４ ２Ｆ,２１－４ ２Ｆ,,R04/02/15,,,,草津
美容所,ｔ・ｔｅ,525-0025,草津市西渋川一丁目,草津市西渋川一丁目１４－９ ＡＰＥＸ ＦＬＡＴ １－Ａ,１４－９ ＡＰＥＸ ＦＬＡＴ １－Ａ,株式会社点閃,R04/02/24,,,,草津
美容所,ＲＩＰＬＡＹ ｂｙ ｅｘ－ｆａ ｆｏｒ ｍｅｎ,525-0032,草津市大路一丁目,草津市大路一丁目１６－３,１６－３,株式会社Ｍ．Ｄ ｗｏｒｋｓ,R04/03/07,,,,草津
美容所,カットコムズ守山店,524-0012,守山市播磨田町,守山市播磨田町１８５－１ ｍｏｌｉｖｅ ２階,１８５－１ ｍｏｌｉｖｅ ２階,,R04/03/04,,,,草津
美容所,ｈａｉｒａｒｉｕｍ,525-0013,草津市新堂町,草津市新堂町３８－１０,３８－１０,,R04/03/04,,,,草津
美容所,ｃｉｌｕｍｉ,525-0028,草津市上笠四丁目,草津市上笠四丁目２－２８ 疋田ビル ２Ｆ,２－２８ 疋田ビル ２Ｆ,,R04/03/24,,,,草津
美容所,ｈａｉｒ ｄｅｓｉｇｎ ｃｈｅｒｉｅｎ,525-0028,草津市上笠四丁目,草津市上笠四丁目４－１８フレンドマート上笠店,４－１８フレンドマート上笠店,,R04/03/30,,,,草津
美容所,Ｃｈａｒｍｅ,520-3041,栗東市出庭,栗東市出庭１６３８－９,１６３８－９,,R04/03/28,,,,草津
美容所,ｎａｎａ,524-0104,守山市木浜町,守山市木浜町１５９－６,１５９－６,,R04/04/06,,,,草津
美容所,Ｎ°１９,525-0032,草津市大路二丁目,草津市大路二丁目１－２７ 伽羅ガーデンスクエア１Ｆ Ｎ ｏ１９,１－２７ 伽羅ガーデンスクエア１Ｆ Ｎ ｏ１９,株式会社Ｎｏ１９,R04/03/30,,,,草津
美容所,ＳＴＯＲＹ,525-0036,草津市草津町,草津市草津町１９０３－１２,１９０３－１２,,R04/05/02,,,,草津
美容所,ＡＬＬｅ’ＭＥ,525-0031,草津市若竹町,草津市若竹町２－２７－１,２－２７－１,,R04/04/19,,,,草津
美容所,ｈａｉｒ ｓａｌｏｎ Ａｎｅｌａ,525-0066,草津市矢橋町,草津市矢橋町１０５－１ カーサ・ソラッツオ弐番館 １Ｆ,１０５－１ カーサ・ソラッツオ弐番館 １Ｆ,,R04/05/06,,,,草津
美容所,Ａｎｎｏｎ Ｐｒｉｖａｔｅｓａｌｏｎ,525-0043,草津市馬場町,草津市馬場町９３０,９３０,,R04/05/06,,,,草津
美容所,ＨＡＩＲ＆ＭＡＫＥ ＥＡＲＴＨ 南草津店,-,草津市,草津市南草津プリムタウン四丁目１７－３０ ル ビットパーク南草津内,南草津プリムタウン四丁目１７－３０ ル ビットパーク南草津内,株式会社Ｌｕｃｅ,R04/05/23,,,,草津
美容所,ＣＡＳＩＴＡ ｈａｉｒ＆ｃａｒｅ,525-0041,草津市青地町,草津市青地町５２４,５２４,,R04/06/02,,,,草津
美容所,ｉｏｒｉ ｆｏｒ ｈａｉｒ,525-0027,草津市野村五丁目,草津市野村五丁目5-16,5-16,株式会社ａｎ,R04/06/22,,,,草津
美容所,Ａｍｉｎａ 守山,524-0041,守山市勝部一丁目,守山市勝部一丁目１７－８,１７－８,ａｗｅｓｏｍｅ ｐｌａｎｓ合同会社,R04/06/22,,,,草津
美容所,美容室 ＯＨＡＮＡ,525-0061,草津市北山田町,草津市北山田町２８１－４,２８１－４,有限会社谷電気設備,R04/06/10,,,,草津
美容所,Ｅｙｅ Ｂｒｏｗ，Ｌｕｓｈ Ａｎｅｌａ,525-0071,草津市南笠東二丁目,草津市南笠東二丁目７－４５,７－４５,,R04/06/09,,,,草津
美容所,ｓｔｏｒｙ,524-0012,守山市播磨田町,守山市播磨田町３００１（Ｃ区画）,３００１（Ｃ区画）,,R04/07/29,,,,草津
美容所,Ｌｉｎｋ,524-0037,守山市梅田町,守山市梅田町１４ 旭駅前ビル１Ｆ１０１号室,１４ 旭駅前ビル１Ｆ１０１号室,,R04/08/02,,,,草津
美容所,ＣＯＣＯ栗東 ｂｙ ＢＥＡＵ ｅｙｅｌａ ｓｈ,520-3035,栗東市霊仙寺一丁目,栗東市霊仙寺一丁目１－３２,１－３２,有限会社エイト,R04/08/05,,,,草津
美容所,ｊｕｍｉｌｅｙ,525-0027,草津市野村一丁目,草津市野村一丁目１６－１４ アンジュール１ＦＢ号,１６－１４ アンジュール１ＦＢ号,,R04/09/05,,,,草津
美容所,ＬＡＮＩＡＫＥＡ,520-3024,栗東市小柿七丁目,栗東市小柿七丁目８－１１ Ｋ佳ビル１階,８－１１ Ｋ佳ビル１階,,R04/09/28,,,,草津
美容所,Ｈａｉｒ Ｍａｋｅ Ｒｏｏｔ,525-0035,草津市西草津二丁目,草津市西草津二丁目１－８－１,１－８－１,,R04/09/09,,,,草津
美容所,Ｅｙｅ Ｂｒｏｗ，Ｌａｓｈ Ａｎｅｌａ,525-0071,草津市南笠東二丁目,草津市南笠東二丁目７－１２,７－１２,,R04/09/14,,,,草津
美容所,ｐｒｉｖａｔｅｓａｌｏｎ ｂａＢａ［ｂ ｉｂｉ］,524-0014,守山市石田町,守山市石田町５２３－９,５２３－９,,R04/09/21,,,,草津
美容所,Ａｌｉａ,520-2331,野洲市小篠原,野洲市小篠原２１１３－７,２１１３－７,,R04/09/22,,,,草津
美容所,ＬＯＭＩＥＲＥ,525-0055,草津市野路町,草津市野路町６６７－５,６６７－５,,R04/10/03,,,,草津
美容所,Ｍｅｌｔ,525-0072,草津市笠山五丁目,草津市笠山五丁目１－７０,１－７０,,R04/10/21,,,,草津
美容所,Ａｔｅｌｉｅｒ Ｎｏｅｌｌａ,525-0050,草津市南草津五丁目,草津市南草津五丁目６－８ ｆ９９南草津Ⅱ２０１,６－８ ｆ９９南草津Ⅱ２０１,株式会社Ｎｏｅｌｌａ,R04/11/01,,,,草津
美容所,ｅｎｅ ｅｙｅｌａｓｈ,525-0058,草津市野路東五丁目,草津市野路東五丁目２５－２０ マリーベル南草津 ９０１号 室,２５－２０ マリーベル南草津 ９０１号 室,,R04/10/24,,,,草津
美容所,Ｂ．ｉ．Ｌ ｈａｉｒ,525-0036,草津市草津町,草津市草津町１５３７－２３ １０５,１５３７－２３ １０５,Ａｒｎｙ Ａｕｓｔｉｎ合同会社,R04/11/01,,,,草津
美容所,ｍｏｎｎ ｎａｉｌ＆ｅｙｅｌａｓｈ,525-0048,草津市追分南四丁目,草津市追分南四丁目２－３ かがやきテラス ２Ｅ,２－３ かがやきテラス ２Ｅ,,R04/11/10,,,,草津
美容所,Ｎｉｃｏ ｗｉｔｈ,520-2361,野洲市北野一丁目,野洲市北野一丁目１２－３１ ドリームビル２Ｆ,１２－３１ ドリームビル２Ｆ,株式会社真花,R04/11/15,,,,草津
美容所,ｉＬＬｉ,520-2302,野洲市高木,野洲市高木４８－１,４８－１,,R04/12/08,,,,草津
美容所,Ｃｒｅａ ｌａ Ｌｕｃｅ草津駅前店,525-0032,草津市大路一丁目,草津市大路一丁目１１－１４フロント草津ビル４Ｆ－Ｂ,１１－１４フロント草津ビル４Ｆ－Ｂ,株式会社Ｃｒｅａ ｌａ Ｌｕｃｅ,R04/11/18,,,,草津
美容所,神威 ＫＡＭ Ｕ．Ｉ,520-2331,野洲市小篠原,野洲市小篠原１１７１－３ ネオクレストエム２Ｆ,１１７１－３ ネオクレストエム２Ｆ,,R04/11/30,,,,草津
美容所,ＧＩＲＭＡ,524-0022,守山市守山六丁目,守山市守山六丁目９－８３,９－８３,株式会社バフォグループ,R04/12/21,,,,草津
美容所,ｍｅｎ’ｓ ｃｕｔ ＆ ｓｋｉｎ ｓｔｕ ｄｉｏｓ 栗東草津店,520-3015,栗東市安養寺二丁目,栗東市安養寺二丁目４－２０プリズムビル,４－２０プリズムビル,株式会社ｓｏｌａｋｅ,R04/12/28,,,,草津
美容所,ｖｉｖｉ＿,520-3037,栗東市北中小路,栗東市北中小路２０－７,２０－７,,R05/01/27,,,,草津
美容所,Ａｇｎｉｉ,525-0037,草津市西大路町,草津市西大路町１０－２７－１０２,１０－２７－１０２,株式会社ＳＥＩＫＯＵＤＯ,R05/01/25,,,,草津
美容所,Ａｇｎｉｉ キッズルーム,525-0037,草津市西大路町,草津市西大路町１０－２７－１０３,１０－２７－１０３,株式会社ＳＥＩＫＯＵＤＯ,R05/01/25,,,,草津
美容所,女性専用 ヘッドスパサロン ｈａｒｕｒｕ,520-3047,栗東市手原四丁目,栗東市手原四丁目５－１４ メゾン・トレゾール１０１号室,５－１４ メゾン・トレゾール１０１号室,,R05/02/10,,,,草津
美容所,Ｂｅｌｌｍｅ,525-0031,草津市若竹町,草津市若竹町２－３１,２－３１,,R05/02/21,,,,草津
美容所,ＳＥＮＳＥ ｂｙ ｐｌｕｓｈａｉｒ 草津 駅西口店,525-0037,草津市西大路町,草津市西大路町７－２４ クエスト西大路７０６,７－２４ クエスト西大路７０６,株式会社ＳＥＮＳＥ,R05/02/06,,,,草津
美容所,ロレインブロウ 南草津店,525-0059,草津市野路一丁目,草津市野路一丁目４－１６ ＭＮＫ－３ビル ４０２,４－１６ ＭＮＫ－３ビル ４０２,合同会社アルシェスタイル,R05/02/27,,,,草津
美容所,サラ 南草津店 ２Ｆ,525-0059,草津市野路一丁目,草津市野路一丁目７－１ アイムビル ２Ｆ,７－１ アイムビル ２Ｆ,有限会社イマジン,R05/02/20,,,,草津
美容所,サラ 南草津店 １Ｆ,525-0059,草津市野路一丁目,草津市野路一丁目７－１ アイムビル １Ｆ,７－１ アイムビル １Ｆ,有限会社イマジン,R05/02/20,,,,草津
美容所,Ｌａｎｉ,524-0022,守山市守山一丁目,守山市守山一丁目２－１ コスモ守山１０２,２－１ コスモ守山１０２,,R05/02/27,,,,草津
美容所,Ｍｉｏ,525-0072,草津市笠山一丁目,草津市笠山一丁目７－３７－４,７－３７－４,株式会社Ｍｉｏ,R05/03/01,,,,草津
美容所,ｏＲｅ,520-3005,栗東市御園,栗東市御園１８６７,１８６７,,R05/03/14,,,,草津
美容所,アートディレクター シルバークロック,524-0041,守山市勝部四丁目,守山市勝部四丁目１０８８ １０２号,１０８８ １０２号,,R05/03/23,,,,草津
美容所,Ｌｉｌｉｕｍ,520-3017,栗東市六地蔵,栗東市六地蔵１０９３,１０９３,,R05/04/11,,,,草津
美容所,Ａｒｃ－ｅｎ－Ｃｉｅｌ,525-0026,草津市渋川一丁目,草津市渋川一丁目２－２６ ザ・草津タワー１１０２,２－２６ ザ・草津タワー１１０２,,R05/03/29,,,,草津
美容所,Ｎｏëｌ,524-0044,守山市古高町,守山市古高町２６３－３,２６３－３,,R05/03/28,,,,草津
美容所,ＳＬＯＷ ＨＡＩＲ,524-0041,守山市勝部三丁目,守山市勝部三丁目１０－２２,１０－２２,,R05/03/29,,,,草津
美容所,美容室 秘密基地,525-0033,草津市東草津一丁目,草津市東草津一丁目４－５３ ビワコホンダビル１Ｆ－Ｂ,４－５３ ビワコホンダビル１Ｆ－Ｂ,,R05/04/10,,,,草津
美容所,Ｅｌｐｉｓ,525-0048,草津市追分南四丁目,草津市追分南四丁目５－１０,５－１０,株式会社ＦＥＸＩＡ,R05/04/17,,,,草津
美容所,ＣＡＭＩＴＯＳ ＨＡＩＲ,520-3004,栗東市上砥山,栗東市上砥山２９２－５,２９２－５,,R05/04/28,,,,草津
美容所,ＣＡＮＡＲＹ,524-0041,守山市勝部三丁目,守山市勝部三丁目１０－８ 新清館Ⅱ１０２,１０－８ 新清館Ⅱ１０２,株式会社Ｍａｋａｌｏａ,R05/05/24,,,,草津
美容所,Ｓｕｕ．ｐｒｉｖａｔｅ ｓａｌｏｎ,520-3037,栗東市北中小路,栗東市北中小路３７７－３２,３７７－３２,,R05/05/15,,,,草津
美容所,ａｌｉｌａ ｅｙｅｌａｓｈ ｓａｌｏｎ,520-2423,野洲市西河原,野洲市西河原６７－１０,６７－１０,,R05/05/29,,,,草津
美容所,ａｎｔ．,520-3032,栗東市苅原,栗東市苅原６６－１１,６６－１１,,R05/05/29,,,,草津
美容所,美容室 とんとん,520-2302,野洲市高木,野洲市高木１９４－３３,１９４－３３,,R05/06/06,,,,草津
美容所,アイラッシュサロン ディーニュ,520-2362,野洲市市三宅,野洲市市三宅１８０６－１,１８０６－１,,R05/06/14,,,,草津
美容所,シャローム,520-2305,野洲市北,野洲市北７５４,７５４,,R05/06/21,,,,草津
美容所,Ａｇｕ ｈａｉｒ ｒｉｓｅ,520-2331,野洲市小篠原,野洲市小篠原１１７１－３,１１７１－３,株式会社Ｎｅｏ,R05/06/26,,,,草津
美容所,Ｐｌｕｍｅｒｉａ,525-0032,草津市大路二丁目,草津市大路二丁目２－１９ ｓｔｙｌｅⅡ １０１号,２－１９ ｓｔｙｌｅⅡ １０１号,,R05/07/28,,,,草津
美容所,マイアンジェリーク 栗東店,520-3031,栗東市綣,栗東市綣三丁目１５－１６ ヴィエナ栗東５０２,三丁目１５－１６ ヴィエナ栗東５０２,マイアンジェリーク株式会社,R05/07/03,,,,草津
美容所,ｈａｉｒ ｓａｌｏｎ ＬＥＰＯ,524-0014,守山市石田町,守山市石田町２－８,２－８,,R05/07/12,,,,草津
美容所,ＴＳＵＮＡＧＵ,520-3025,栗東市中沢三丁目,栗東市中沢三丁目３－７,３－７,,R05/08/01,,,,草津
美容所,Ｎｏ１８,525-0032,草津市大路二丁目,草津市大路二丁目２－１９ 大路２丁目Ｓｔｙｌｅビル２ ２０１号室,２－１９ 大路２丁目Ｓｔｙｌｅビル２ ２０１号室,株式会社Ｎｏ１９,R05/07/26,,,,草津
美容所,ｅｙｅｌａｓｈ ｎｕｎｎ,520-2423,野洲市西河原,野洲市西河原２９２－１ ２Ｆ,２９２－１ ２Ｆ,,R05/08/02,,,,草津
美容所,ｆａｃｅ ｆｒａｍｅ ｄｅｓｉｇｎ/ａｎ ｏｎ,520-3031,栗東市綣,栗東市綣二丁目４－５ ウイングプラザ１Ｆ,二丁目４－５ ウイングプラザ１Ｆ,合同会社Ｐｉｓｔａ Ｃｏｒｐｏｒａｔｉｏｎ,R05/08/04,,,,草津
美容所,ＡＥＬＵ ２Ｆ,525-0031,草津市若竹町,草津市若竹町８－３１ 若竹ビル南２Ｆ,８－３１ 若竹ビル南２Ｆ,株式会社ＫＡＮＡＵ,R05/08/03,,,,草津
美容所,ＡＥＬＵ １Ｆ,525-0031,草津市若竹町,草津市若竹町８－３１ 若竹ビル南１Ｆ,８－３１ 若竹ビル南１Ｆ,株式会社ＫＡＮＡＵ,R05/08/03,,,,草津
美容所,ｕｌａｌａ,524-0042,守山市焔魔堂町,守山市焔魔堂町２７２－２,２７２－２,,R05/08/28,,,,草津
美容所,Ｅｙｅｌａｓｈ ｓａｌｏｎ ｉｍｅ 守山 店,524-0021,守山市吉身二丁目,守山市吉身二丁目９－２７ 伊勢屋ビル１０１,９－２７ 伊勢屋ビル１０１,,R05/08/28,,,,草津
美容所,Ｃｏｍｍｅ ｓｉ．,520-3022,栗東市上鈎,栗東市上鈎１７５－２ 杉本ビル１Ｆ,１７５－２ 杉本ビル１Ｆ,,R05/09/20,,,,草津
美容所,Ｌｏｗｅｌｉ．,524-0031,守山市立入町,守山市立入町１１４６,１１４６,,R05/08/31,,,,草津
美容所,スタジオコフレ南草津スタジオ,525-0071,草津市南笠東一丁目,草津市南笠東一丁目３－４８,３－４８,株式会社上原フォートスタジオ,R05/09/20,,,,草津
美容所,髪質改善＆ハイトーンカラー ＢＡＬＥ,525-0032,草津市大路二丁目,草津市大路二丁目１－７ プレサンスロジェ草津１Ｆ １０ ３,１－７ プレサンスロジェ草津１Ｆ １０ ３,Ｌｅｍｏｎ Ｆｏｒｅｓｔ株式会社,R05/09/27,,,,草津
美容所,ヘアサロン ＫＯＪＩＭＡ,524-0041,守山市勝部五丁目,守山市勝部五丁目６－２５,６－２５,,R05/10/27,,,,草津
美容所,ｓｉｔｕ,520-3031,栗東市綣一丁目,栗東市綣一丁目１８－３ カーサフェリーチェ淡海１Ｆ,１８－３ カーサフェリーチェ淡海１Ｆ,株式会社門出,R05/09/20,,,,草津
美容所,ＣＡＳＡ ＣＯＬＯＲ ピエリ守山,524-0101,守山市今浜町,守山市今浜町２６２０－５ ピエリ守山１Ｆ,２６２０－５ ピエリ守山１Ｆ,ＣＵホールディングス株式会社,R05/09/29,,,,草津
美容所,ａｎｄ．Ｋ,525-0023,草津市平井一丁目,草津市平井一丁目１１－６ １Ｆ,１１－６ １Ｆ,,R05/10/23,,,,草津
美容所,Ｃａｆｕｎｅ,520-3015,栗東市安養寺二丁目,栗東市安養寺二丁目５－９ ｙｏｕＢＬＤ １０２,５－９ ｙｏｕＢＬＤ １０２,,R05/11/06,,,,草津
